time,ax,ay,az,aT
5.2080,0.0050,0.0176,0.1500,0.151
5.2160,-0.0346,0.0218,0.1114,0.119
5.2260,-0.0890,0.0137,0.1349,0.162
5.2360,-0.0849,0.0078,0.1542,0.176
5.2510,0.0458,-0.0072,0.0915,0.103
5.2550,0.1120,-0.0553,-0.0426,0.132
5.2700,0.0872,-0.1184,-0.1284,0.195
5.2770,0.0555,-0.0997,-0.1264,0.170
5.2890,-0.0217,-0.0687,-0.1160,0.137
5.3030,-0.1012,-0.0207,-0.1199,0.158
5.3070,-0.1190,-0.0022,-0.1415,0.185
5.3170,-0.1349,-0.0218,-0.2300,0.267
5.3270,-0.1236,-0.0646,-0.3124,0.342
5.3360,-0.0511,-0.0792,-0.2767,0.292
5.3480,0.0203,-0.0741,-0.2260,0.239
5.3550,0.0735,-0.0871,-0.1510,0.189
5.3670,0.0499,-0.1510,-0.1376,0.210
5.3750,0.0119,-0.2001,-0.0827,0.217
5.3860,0.0237,-0.2157,-0.0077,0.217
5.3980,0.0224,-0.1216,0.0647,0.140
5.4060,0.0246,-0.0123,0.0870,0.091
5.4160,0.0021,0.0189,0.0905,0.092
5.4280,-0.0598,-0.0199,-0.0073,0.063
5.4360,-0.0855,-0.0462,-0.0207,0.099
5.4470,-0.0383,-0.0563,-0.0358,0.077
5.4550,0.0154,-0.0493,-0.0989,0.112
5.4670,0.0074,-0.0747,-0.2563,0.267
5.4760,-0.0285,-0.0587,-0.3668,0.373
5.4900,-0.0308,-0.0130,-0.3028,0.305
5.5020,0.0221,0.0568,-0.2540,0.261
5.5080,0.0456,0.0731,-0.1978,0.216
5.5180,0.0372,0.0455,-0.0706,0.092
5.5270,-0.0158,-0.0381,0.0666,0.078
5.5350,-0.0477,-0.0997,0.0645,0.128
5.5480,-0.0362,-0.1043,0.0733,0.133
5.5560,-0.0282,-0.0891,0.0839,0.126
5.5670,0.0163,-0.0975,0.0256,0.102
5.5750,0.0295,-0.0804,-0.0057,0.086
5.5890,0.0685,-0.0306,0.0713,0.104
5.5970,0.0917,-0.0145,0.0244,0.096
5.6090,0.0043,-0.0072,-0.0679,0.068
5.6180,-0.0921,-0.0294,-0.0836,0.128
5.6260,-0.0823,-0.0056,-0.0911,0.123
5.6360,-0.0349,-0.0309,-0.1573,0.164
5.6490,-0.0123,-0.0510,-0.2812,0.286
5.6550,-0.0035,-0.0693,-0.2543,0.264
5.6660,-0.0131,-0.0651,-0.1883,0.200
5.6760,-0.0124,-0.0438,-0.1418,0.149
5.6860,0.0139,-0.0314,-0.1016,0.107
5.6980,-0.0105,0.0059,-0.1260,0.127
5.7060,0.0305,0.0309,-0.1300,0.137
5.7220,-0.0033,0.0303,-0.1135,0.117
5.7270,-0.0150,0.0062,-0.1183,0.119
5.7360,0.0264,-0.0025,-0.1087,0.112
5.7520,0.1018,0.0185,-0.0846,0.134
5.7560,0.1223,0.0107,-0.0199,0.124
5.7680,0.0582,-0.0283,0.0187,0.067
5.7820,0.0242,-0.0739,0.0335,0.085
5.7890,0.0250,-0.0749,0.0222,0.082
5.8050,0.0004,-0.0436,0.0233,0.049
5.8070,-0.0193,-0.0374,-0.0555,0.070
5.8170,-0.0301,-0.0045,-0.0993,0.104
5.8260,0.0473,0.0391,-0.1705,0.181
5.8380,0.0491,0.0345,-0.1690,0.179
5.8480,-0.0184,-0.0461,-0.2243,0.230
5.8550,-0.0476,-0.0796,-0.2026,0.223
5.8660,-0.0562,-0.0370,-0.0906,0.113
5.8750,0.0267,-0.0097,0.0007,0.028
5.8880,0.0610,0.0051,-0.0689,0.092
5.8970,0.0214,0.0094,-0.1658,0.167
5.9060,-0.0049,-0.0115,-0.2084,0.209
